ticker,missing_date
ASII.JK,2017-02-15
ASII.JK,2017-03-28
ASII.JK,2017-04-05
ASII.JK,2017-04-14
ASII.JK,2017-04-19
ASII.JK,2017-04-24
ASII.JK,2017-05-01
ASII.JK,2017-05-11
ASII.JK,2017-05-25
ASII.JK,2017-06-01
ASII.JK,2017-06-23
ASII.JK,2017-06-26
ASII.JK,2017-06-27
ASII.JK,2017-06-28
ASII.JK,2017-06-29
ASII.JK,2017-06-30
ASII.JK,2017-08-17
ASII.JK,2017-09-01
ASII.JK,2017-09-21
ASII.JK,2017-12-01
ASII.JK,2017-12-25
ASII.JK,2017-12-26
ASII.JK,2018-01-01
ASII.JK,2018-02-16
ASII.JK,2018-03-30
ASII.JK,2018-04-16
ASII.JK,2018-04-17
ASII.JK,2018-04-19
ASII.JK,2018-04-20
ASII.JK,2018-04-25
ASII.JK,2018-04-26
ASII.JK,2018-04-27
ASII.JK,2018-05-01
ASII.JK,2018-05-10
ASII.JK,2018-05-29
ASII.JK,2018-06-01
ASII.JK,2018-06-11
ASII.JK,2018-06-12
ASII.JK,2018-06-13
ASII.JK,2018-06-14
ASII.JK,2018-06-15
ASII.JK,2018-06-18
ASII.JK,2018-06-19
ASII.JK,2018-08-17
ASII.JK,2018-08-22
ASII.JK,2018-09-11
ASII.JK,2018-11-20
ASII.JK,2018-12-24
ASII.JK,2018-12-25
ASII.JK,2018-12-31
ASII.JK,2019-01-01
ASII.JK,2019-02-05
ASII.JK,2019-03-07
ASII.JK,2019-04-03
ASII.JK,2019-04-17
ASII.JK,2019-04-19
ASII.JK,2019-05-01
ASII.JK,2019-05-30
ASII.JK,2019-06-03
ASII.JK,2019-06-04
ASII.JK,2019-06-05
ASII.JK,2019-06-06
ASII.JK,2019-06-07
ASII.JK,2019-06-19
ASII.JK,2019-12-24
ASII.JK,2019-12-25
ASII.JK,2019-12-31
ASII.JK,2020-01-01
ASII.JK,2020-03-13
ASII.JK,2020-03-25
ASII.JK,2020-04-10
ASII.JK,2020-05-01
ASII.JK,2020-05-07
ASII.JK,2020-05-21
ASII.JK,2020-05-22
ASII.JK,2020-05-25
ASII.JK,2020-06-01
ASII.JK,2020-07-31
ASII.JK,2020-08-17
ASII.JK,2020-08-20
ASII.JK,2020-08-21
ASII.JK,2020-10-28
ASII.JK,2020-10-29
ASII.JK,2020-10-30
ASII.JK,2020-12-09
ASII.JK,2020-12-24
ASII.JK,2020-12-25
